                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1027,                  2.401,                 1.3138,                0.93514,                0.64286,                 0.6543,                0.51321,                0.99176,                 2.1996,                 1.0673,                0.00028,                0.00028,                0.00028
                      2,                0.84765,                 1.3062,                 1.1194,                      1,                0.64141,                0.68921,                0.60914,                0.75371,                 2.1024,                0.87472,             0.00056852,             0.00056852,             0.00056852
                      3,                0.82846,                 1.2413,                 1.1137,                      1,                0.62149,                0.65034,                0.48358,                 1.2113,                 2.1473,                 1.2384,             0.00084515,             0.00084515,             0.00084515
                      4,                0.82131,                 1.1206,                 1.0954,                0.99158,                0.64286,                0.75074,                0.61329,                0.80128,                 1.5183,                0.90565,              0.0011099,              0.0011099,              0.0011099
                      5,                0.82798,                 1.0454,                 1.0845,                0.99122,                0.64286,                 0.6904,                0.58088,                0.86534,                  1.721,                0.93165,              0.0013628,              0.0013628,              0.0013628
                      6,                0.80714,                 1.0291,                 1.0791,                0.98044,                0.57143,                0.63355,                0.52367,                0.75966,                 1.5094,                0.86568,              0.0016038,              0.0016038,              0.0016038
                      7,                0.77109,                0.89671,                 1.0435,                      1,                0.92283,                0.92641,                0.74554,                0.79182,                 1.4696,                0.86434,              0.0017624,              0.0017624,              0.0017624
                      8,                0.80745,                0.92689,                 1.0802,                0.76796,                0.92857,                0.88166,                0.76519,                0.61752,                 1.1521,                0.73351,              0.0017228,              0.0017228,              0.0017228
                      9,                0.78035,                0.88283,                 1.0636,                0.98292,                0.92857,                0.97167,                0.86665,                0.67721,                 1.1211,                0.78338,              0.0016832,              0.0016832,              0.0016832
                     10,                0.73353,                0.80151,                  1.024,                0.99424,                0.92857,                0.92932,                0.80684,                0.82358,                0.77965,                0.88944,              0.0016436,              0.0016436,              0.0016436
                     11,                0.76485,                 0.8302,                 1.0402,                0.99186,                0.92857,                0.98625,                0.74185,                0.88499,                 1.0487,                0.85857,               0.001604,               0.001604,               0.001604
                     12,                0.70596,                0.73065,                 1.0142,                 0.9776,                0.92857,                0.97658,                0.79755,                0.80492,                0.84726,                0.86837,              0.0015644,              0.0015644,              0.0015644
                     13,                0.70343,                0.72541,                 1.0159,                0.99141,                0.92857,                0.99033,                0.78219,                0.78753,                0.87007,                0.86612,              0.0015248,              0.0015248,              0.0015248
                     14,                0.71269,                0.71358,                 1.0221,                0.99115,                0.92857,                0.96955,                0.86924,                 0.6075,                 0.5952,                0.72128,              0.0014852,              0.0014852,              0.0014852
                     15,                0.69711,                0.68705,                 1.0095,                0.98902,                0.92857,                0.95879,                0.82179,                0.79136,                0.66237,                0.81581,              0.0014456,              0.0014456,              0.0014456
                     16,                0.63861,                0.63229,                0.99273,                0.98777,                0.92857,                0.98625,                0.78937,                0.87068,                0.74453,                 0.8584,               0.001406,               0.001406,               0.001406
                     17,                0.62541,                0.59163,                0.98561,                0.95132,                0.92857,                0.98625,                0.82452,                0.67678,                0.81876,                0.78082,              0.0013664,              0.0013664,              0.0013664
                     18,                0.65003,                0.58014,                 0.9922,                0.77692,                 0.9953,                0.96444,                0.75669,                0.87021,                  0.964,                0.88482,              0.0013268,              0.0013268,              0.0013268
                     19,                0.64613,                0.59793,                 1.0069,                      1,                0.99639,                  0.995,                0.77957,                0.89996,                0.77511,                0.94694,              0.0012872,              0.0012872,              0.0012872
                     20,                0.66514,                0.60419,                0.99426,                      1,                0.99981,                  0.995,                 0.8682,                0.57288,                0.46112,                0.71802,              0.0012476,              0.0012476,              0.0012476
                     21,                0.62626,                0.56188,                0.97532,                      1,                0.99046,                  0.995,                0.79609,                0.93037,                0.65118,                0.91858,               0.001208,               0.001208,               0.001208
                     22,                 0.6389,                0.54137,                0.98229,                0.99575,                      1,                  0.995,                0.82475,                0.82134,                0.65895,                0.87466,              0.0011684,              0.0011684,              0.0011684
                     23,                0.63528,                0.55064,                0.99952,                      1,                0.99595,                  0.995,                0.89995,                0.47695,                   0.46,                0.67752,              0.0011288,              0.0011288,              0.0011288
                     24,                0.58932,                 0.5381,                0.97612,                      1,                0.99809,                  0.995,                0.87767,                0.59291,                0.45955,                0.72297,              0.0010892,              0.0010892,              0.0010892
                     25,                0.59105,                0.52049,                0.96645,                      1,                0.99263,                  0.995,                 0.8215,                0.74763,                 0.4725,                0.83967,              0.0010496,              0.0010496,              0.0010496
                     26,                0.59913,                0.51789,                0.97184,                      1,                 0.9983,                  0.995,                0.82008,                0.70391,                0.44065,                0.81995,                0.00101,                0.00101,                0.00101
                     27,                0.61757,                0.50926,                0.97055,                      1,                0.99626,                  0.995,                0.79028,                0.88169,                0.46638,                0.92971,              0.0009704,              0.0009704,              0.0009704
                     28,                0.60407,                0.49917,                0.96729,                      1,                0.99659,                  0.995,                0.85022,                0.69323,                 0.3829,                0.80485,              0.0009308,              0.0009308,              0.0009308
                     29,                0.53665,                0.46296,                0.94193,                      1,                0.99703,                  0.995,                0.81158,                0.79962,                0.43148,                0.87958,              0.0008912,              0.0008912,              0.0008912
                     30,                0.54845,                0.47939,                0.95121,                      1,                0.99569,                  0.995,                  0.839,                0.65404,                0.41864,                0.79015,              0.0008516,              0.0008516,              0.0008516
                     31,                0.54019,                0.45966,                  0.937,                      1,                0.99805,                  0.995,                0.85881,                0.66224,                 0.3787,                0.76902,               0.000812,               0.000812,               0.000812
                     32,                0.52383,                 0.4497,                 0.9378,                0.99707,                      1,                  0.995,                0.85303,                0.72157,                0.42769,                0.77984,              0.0007724,              0.0007724,              0.0007724
                     33,                0.51753,                0.44199,                0.93753,                0.99574,                      1,                  0.995,                0.87402,                 0.6574,                0.36022,                0.73281,              0.0007328,              0.0007328,              0.0007328
                     34,                0.49928,                0.43498,                0.91803,                0.99694,                      1,                  0.995,                0.87879,                0.63045,                0.36802,                0.74701,              0.0006932,              0.0006932,              0.0006932
                     35,                0.51098,                0.43809,                0.93866,                      1,                0.99855,                  0.995,                0.91093,                0.51867,                0.38016,                0.68676,              0.0006536,              0.0006536,              0.0006536
                     36,                0.49218,                0.43049,                0.92561,                0.99908,                      1,                  0.995,                0.89961,                0.53989,                  0.368,                0.71214,               0.000614,               0.000614,               0.000614
                     37,                0.50212,                0.42709,                0.92732,                0.99677,                      1,                  0.995,                 0.9002,                0.58096,                0.37098,                0.74127,              0.0005744,              0.0005744,              0.0005744
                     38,                0.44557,                0.40069,                0.90838,                0.99328,                      1,                  0.995,                0.89372,                0.50319,                0.32381,                0.70381,              0.0005348,              0.0005348,              0.0005348
                     39,                0.45955,                 0.3876,                0.91745,                 0.9921,                      1,                  0.995,                0.87401,                0.58131,                0.33856,                0.70969,              0.0004952,              0.0004952,              0.0004952
                     40,                0.43951,                0.36587,                0.90267,                0.99605,                      1,                  0.995,                0.88667,                0.62753,                    0.4,                0.74366,              0.0004556,              0.0004556,              0.0004556
                     41,                0.38802,                 0.3735,                0.88357,                0.99755,                      1,                  0.995,                 0.8769,                0.56612,                0.38808,                0.71992,               0.000416,               0.000416,               0.000416
                     42,                0.37803,                0.34092,                0.86636,                      1,                0.99929,                  0.995,                0.89761,                0.43174,                 0.4181,                0.65293,              0.0003764,              0.0003764,              0.0003764
                     43,                0.34854,                0.31521,                0.86899,                0.99995,                      1,                  0.995,                0.91738,                0.44749,                0.31536,                0.66141,              0.0003368,              0.0003368,              0.0003368
                     44,                 0.3738,                0.31968,                0.88135,                      1,                0.99684,                  0.995,                0.91761,                0.45759,                0.30031,                0.66947,              0.0002972,              0.0002972,              0.0002972
                     45,                0.34725,                0.30664,                0.88295,                      1,                0.99306,                  0.995,                0.89588,                0.47293,                0.33572,                0.67035,              0.0002576,              0.0002576,              0.0002576
                     46,                0.33364,                0.29019,                0.86736,                      1,                0.99753,                  0.995,                0.90521,                0.49028,                0.36773,                0.67888,               0.000218,               0.000218,               0.000218
                     47,                 0.3428,                0.30135,                0.86622,                0.98901,                      1,                  0.995,                0.89179,                0.46253,                0.35709,                0.65558,              0.0001784,              0.0001784,              0.0001784
                     48,                0.31478,                0.27817,                0.87386,                0.94986,                      1,                  0.995,                0.88584,                0.46728,                0.32505,                0.65885,              0.0001388,              0.0001388,              0.0001388
                     49,                0.34139,                0.28816,                0.87617,                0.93262,                      1,                  0.995,                0.88961,                0.45496,                0.32094,                0.65793,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.31543,                 0.2696,                0.86323,                0.93229,                      1,                  0.995,                0.88994,                0.44829,                0.31878,                0.65592,               5.96e-05,               5.96e-05,               5.96e-05
